genes	endo03_FC	endo03_FDR	endo06_FC	endo06_FDR	endo09_FC	endo09_FDR	endo12_FC	endo12_FDR	endo15_FC	endo15_FDR	endo18_FC	endo18_FDR	ovary03_FC	ovary03_FDR	ovary06_FC	ovary06_FDR	ovary09_FC	ovary09_FDR	ovary12_FC	ovary12_FDR	ovary15_FC	ovary15_FDR	ovary18_FC	ovary18_FDR	ovid03_FC	ovid03_FDR	ovid06_FC	ovid06_FDR	ovid09_FC	ovid09_FDR	ovid12_FC	ovid12_FDR	ovid15_FC	ovid15_FDR	ovid18_FC	ovid18_FDR	absMAX_FC	FC_sample	Min_FDR	FDR_sample
ENSSSCG00000001836	1.19585911523276	0.999970279305184	6.77247208754465	2.19809647673155e-07	7.05923932325526	7.54327943009512e-08	6.59062681149531	4.00468372712027e-07	-0.0223092786579719	0.999107661984216	-0.476321328873384	0.999963438149354	0	0	0	0	0	0	0	0	1.53409752686984	0.64439797211642	0	0	5.47057782994438	9.97977979912733e-05	4.77106808697638	0.000943581691152705	3.75375805537247	0.0145756273405007	0.628140616315949	0.999791955937091	1.035468849496	0.999951635344029	0.702477669917808	0.999918096269946	7.05923932325526	endo09	0	ovary03
ENSSSCG00000001841	3.01754005946885	0.48820129578325	7.17024297928093	1.2420879973915e-06	4.68294076665194	0.00334971406784432	0	0	0	0	0	0	3.57718555594316	0.0127846069988954	9.4558773013512	5.20773502557033e-11	8.0838073365041	4.77385762167057e-09	4.35646419161933	0.000685405916525676	3.12878630490563	0.0237302783478402	0.914878911073354	0.999898616998068	1.85770642710351	0.79962135497289	4.31419042606865	0.0059508113559086	4.3091150131155	0.00543158340450974	0	0	0	0	1.5329467860595	0.999918096269946	9.4558773013512	ovary06	0	endo12
ENSSSCG00000001909	1.70059782193907	0.877731107955607	0.756729507474813	0.999982221946195	0.711481458009553	0.957518775534069	1.08165248840638	0.680498618173761	0.530627642956643	0.999107661984216	1.23696607759694	0.999963438149354	-2.64779203635523	0.0554142825153127	-3.86008003888484	0.00189513862427362	-3.51281085401056	0.00484079034573691	-5.73322331428225	3.21087867907297e-06	1.45309309422458	0.407668751569743	-0.855776576309241	0.9637086900752	-0.552385256888553	0.999905160632868	0.506609413506441	0.99998075372639	0.857174839070409	0.999991240463336	0.428161894229169	0.999791955937091	0.837514005798662	0.999951635344029	0.206719178353991	0.999918096269946	5.73322331428225	ovary12	3.21087867907297e-06	ovary12
ENSSSCG00000001989	1.52033119958307	0.999970279305184	4.65971704605156	0.00064606654162052	6.92865577478547	2.300703725377e-07	1.20008088655221	0.754573210339164	0	0	2.68347827375578	0.360649658888493	0	0	0	0	0	0	0	0	7.45399093044498	0.00252661501201261	9.62310432595026	1.20988081693663e-05	-1.16368525618828	0.999905160632868	1.70133293780291	0.608486690352597	0.724449552302574	0.999991240463336	-2.201978629423	0.253146084507004	-1.44404489393974	0.992390846726581	0.918757051646605	0.999918096269946	9.62310432595026	ovary18	0	endo15
ENSSSCG00000002013	0.292001067395837	0.999970279305184	1.02093557724923	0.989088364764145	0.96473907971872	0.803626033217936	1.56143922218976	0.3837729442027	-1.04999645896264	0.782696821918704	-0.769095920348408	0.999963438149354	3.56894189572354	0.00473612937632211	3.1631016090206	0.0122457591998452	5.85753665669384	2.25217745253583e-06	4.89701468185399	3.3775382140518e-05	2.03375359646019	0.144456627344217	0.659869357513365	0.999898616998068	-0.709541281620743	0.999905160632868	-1.02456020501046	0.99998075372639	-0.0587936459550537	0.999991240463336	-0.420218512691193	0.999791955937091	-0.793758386942245	0.999951635344029	-0.378429956523077	0.999918096269946	5.85753665669384	ovary09	2.25217745253583e-06	ovary09
ENSSSCG00000002241	0.0960771259204403	0.999970279305184	5.95392278741959	3.97209456838428e-06	4.50084187014651	0.000503759227605771	1.20720542838335	0.69725517637398	-1.0079816659425	0.935479003579902	-2.72631772417615	0.768291492639385	0	0	1.75137051476074	0.422649441291167	0.479953770856687	0.973791023848927	0	0	0	0	0	0	0.372213462773931	0.999905160632868	-0.478304095023939	0.99998075372639	-2.12971908405435	0.523379527475737	-0.608609769689775	0.999791955937091	-1.12539618710352	0.999951635344029	0.297223861949765	0.999918096269946	5.95392278741959	endo06	0	ovary03
ENSSSCG00000002262	0	0	0	0	0	0	0	0	0	0	0	0	-1.11865978939996	0.826579973651558	-1.2482596056534	0.6735689439921	-0.943461300341786	0.800875933235195	-3.00263005601076	0.0421873735707733	0.538794800306445	0.998725078460514	1.25583952612964	0.743869965909143	0.0387782467825322	0.999905160632868	0.364767988900197	0.99998075372639	-0.926408385630578	0.999991240463336	-7.6728724380482	3.34302530566459e-08	-1.50795335083338	0.822671854902339	0.648942483597141	0.999918096269946	7.6728724380482	ovid12	0	endo03
ENSSSCG00000002314	0	0	4.98761183287036	0.000263096718933687	6.82611252573251	3.91258253152233e-07	10.3266720040621	3.81154908153436e-12	7.79935159977128	2.48913803417351e-08	5.7955537923131	8.01859211325212e-05	1.00083405051591	0.84404594293076	0.438521526216031	0.990875860976357	0.821372238105546	0.826227714921414	2.83206089870597	0.0174513462958274	2.25990741846222	0.0872223023534535	0.63072651749605	0.999898616998068	4.74368601458215	0.000308653610795269	1.19615590985617	0.99998075372639	1.07815635433707	0.999991240463336	1.27021700899889	0.797476456867762	1.81726585788966	0.634041208450281	-0.0229096485250112	0.999918096269946	10.3266720040621	endo12	0	endo03
ENSSSCG00000002443	-0.488829458955428	0.999970279305184	0.637682498955222	0.999982221946195	1.67514717912176	0.322041372980771	0.193849778143319	0.986150609622786	2.3455270290648	0.10437199327787	1.18268953430824	0.999963438149354	1.9611968574919	0.248116767373983	4.16882950939427	0.000719578693032057	4.61091261126877	0.000147973845458455	6.38043362821356	2.17711434796538e-07	0.431579686226364	0.999560378701902	1.49829831567775	0.541168237961391	1.45358159963914	0.752306439008386	2.94969124980048	0.0404477174327342	2.89050923196366	0.0409532695694213	2.39294210672608	0.109629532772527	0.537542927865487	0.999951635344029	0.883627858924379	0.999918096269946	6.38043362821356	ovary12	2.17711434796538e-07	ovary12
ENSSSCG00000002450	0.926795150906892	0.999970279305184	2.31605688409497	0.141989754532063	5.63277022271599	4.16918778008171e-06	6.93930775628627	4.44478142493187e-08	7.33606055217769	2.08459503777852e-08	5.01215444231735	0.000208782066150604	-1.20617753857135	0.735310655529688	-0.445567754889875	0.990875860976357	0.163787686366128	0.993588085408779	-0.295224695673826	0.95936557606757	-0.336893035557822	0.999560378701902	1.31167735960686	0.685764204519633	-0.503762047061912	0.999905160632868	-1.45531944643875	0.85260209411331	1.3463981433172	0.838144607953198	1.25458616654771	0.754320420097884	0.534197575584929	0.999951635344029	-0.415703191736628	0.999918096269946	7.33606055217769	endo15	2.08459503777852e-08	endo15
