,logFC,PValue,FDR
ENSSSCG00000009927,4.63004143832745,1.2456417882074e-06,0.000170711774202754
ENSSSCG00000017295,-8.749140443143,1.29104876233217e-06,0.000175552372721808
ENSSSCG00000005385,4.61127073757678,1.30202709559342e-06,0.000175672725572121
ENSSSCG00000002696,4.58452103707149,1.33122249258974e-06,0.000177765374087793
ENSSSCG00000033207,-5.28736424737314,1.33796403363981e-06,0.000177765374087793
ENSSSCG00000057140,8.55597550472108,1.458787519222e-06,0.0001923499755459
ENSSSCG00000016686,-4.57252046419603,1.51800281147628e-06,0.00019865292431387
ENSSSCG00000037532,-4.630868445124,1.5623770402925e-06,0.000202934122285753
ENSSSCG00000016554,-4.53781707666586,1.67535921371214e-06,0.000215997237886368
ENSSSCG00000005994,4.50610764442816,1.82449320399936e-06,0.000231946317064365
ENSSSCG00000004521,4.51057023807716,1.82571935867957e-06,0.000231946317064365
ENSSSCG00000044512,8.48904383392348,1.88259408983113e-06,0.000237438769083411
ENSSSCG00000039273,-8.64442391054133,1.91689475468771e-06,0.000238311094323854
ENSSSCG00000052099,-8.64442391054133,1.91689475468771e-06,0.000238311094323854
ENSSSCG00000017459,5.34123264593878,2.03427923148554e-06,0.000251110851234083
ENSSSCG00000057901,5.56470927341763,2.30174595324306e-06,0.000282125974057715
ENSSSCG00000008710,4.46840248182157,2.4061232992603e-06,0.000292857174990388
ENSSSCG00000033919,-4.43663240791088,2.51905227071525e-06,0.000304472949804159
ENSSSCG00000004875,4.42029240819445,2.57746639970972e-06,0.00030938484611688
ENSSSCG00000008550,4.41041403817807,2.70914633357938e-06,0.000322963643396911
ENSSSCG00000046162,-5.52111683278636,2.74240833107234e-06,0.000324704877566762
ENSSSCG00000009477,4.40817443656629,2.78013633708436e-06,0.000326947790182117
ENSSSCG00000040464,8.38243746597423,2.81621725378793e-06,0.000328968196658919
ENSSSCG00000014293,4.42202071454932,2.91975479281958e-06,0.000336773799495729
ENSSSCG00000048959,-8.5315075817982,2.92173764572566e-06,0.000336773799495729
ENSSSCG00000012774,4.90416429948487,2.9969755772499e-06,0.0003431734205397
ENSSSCG00000015390,4.37674067551113,3.08550723428651e-06,0.000351001656292527
