,ovary00.txt,ovary18.txt
ENSSSCG00000037781,4.48821374718278,6.81808707530121
ENSSSCG00000005781,3.69414516114275,2.78623750673367
ENSSSCG00000004979,27.2400049732863,34.5493450834975
ENSSSCG00000004843,0.172623605660876,0.721143825272243
ENSSSCG00000025616,17.9873797098633,19.4381040175655
ENSSSCG00000026167,2.14053271019487,1.96675588710612
ENSSSCG00000004985,22.0958215245922,19.1103113697144
ENSSSCG00000004844,45.6071566156035,44.7109171668791
ENSSSCG00000004986,26.0316397336601,23.7321877044138
ENSSSCG00000004845,37.3557482650136,31.5992112528383
ENSSSCG00000022828,172.381932612951,190.906438108434
ENSSSCG00000032494,22.7517912261035,15.0129032715767
ENSSSCG00000004873,2.90007657510272,1.37672912097428
ENSSSCG00000004983,35.5949874872727,29.7307931600875
ENSSSCG00000032214,30.3127051540499,41.3674321587987
ENSSSCG00000032574,9.73597135927342,12.0627694409175
ENSSSCG00000038398,0.345247211321752,1.18005353226367
ENSSSCG00000028977,1.34646412415483,0.426130442206325
ENSSSCG00000005782,16.5028167011798,20.585378285044
ENSSSCG00000040252,15.2944514615536,17.3074518065338
ENSSSCG00000038208,0.207148326793051,0.786702354842447
ENSSSCG00000062837,0.138098884528701,0.590026766131835
ENSSSCG00000041275,0.586920259246979,2.49122412366775
ENSSSCG00000054784,0.207148326793051,0.426130442206325
ENSSSCG00000034069,0.414296653586103,0.590026766131835
ENSSSCG00000060600,26.0661644547923,23.2732779974224
ENSSSCG00000060688,0.414296653586103,0.32779264785102
ENSSSCG00000061734,0.345247211321752,0.262234118280816
ENSSSCG00000061619,0.276197769057402,0.524468236561631
ENSSSCG00000004989,17.0897369604267,21.863769611663
ENSSSCG00000050768,0.276197769057402,0.721143825272243
ENSSSCG00000060152,2.69292824830967,1.7045217688253
ENSSSCG00000053633,1.00121691283308,0.655585295702039
ENSSSCG00000062595,0.932167470568732,1.11449500269347
ENSSSCG00000053742,4.90251040076888,5.37579942475672
ENSSSCG00000056642,82.7212318326919,70.082068110548
ENSSSCG00000062224,2.20958215245922,2.39288632931244
ENSSSCG00000054354,0.483346095850453,1.04893647312326
ENSSSCG00000063030,0.0690494422643505,0.655585295702039
ENSSSCG00000058062,1.38098884528701,0.983377943553059
ENSSSCG00000019587,0.72501914377568,0.393351177421223
ENSSSCG00000019949,0.345247211321752,0.16389632392551
ENSSSCG00000018926,0.72501914377568,0.16389632392551
ENSSSCG00000004075,0.586920259246979,1.83563882796571
ENSSSCG00000004076,10.840762435503,12.3250035591983
ENSSSCG00000004077,3.69414516114275,3.04847162501448
ENSSSCG00000004101,22.7517912261035,15.766826361634
ENSSSCG00000004103,55.170504369216,50.9061982112633
ENSSSCG00000004410,1.00121691283308,0.393351177421223
ENSSSCG00000004105,21.0255551694947,13.5378363562471
ENSSSCG00000004405,31.3484467880151,37.6961545028673
ENSSSCG00000004071,17.3659347294841,21.0442879920355
ENSSSCG00000046319,0.932167470568732,4.68743486426958
ENSSSCG00000026042,0.863118028304381,1.60618397447
ENSSSCG00000004113,16.4337672589154,34.1559939060762
ENSSSCG00000004404,2.69292824830967,1.83563882796571
ENSSSCG00000004403,10.8062377143708,11.6038597339261
ENSSSCG00000004402,3.55604627661405,4.85133118819509
ENSSSCG00000004401,3.2107990652923,4.9824482473355
ENSSSCG00000037803,432.284033295966,608.055361763641
ENSSSCG00000004388,6.80137006303852,7.21143825272243
ENSSSCG00000004390,153.082613500065,82.5054094641016
ENSSSCG00000004114,3.93581820906798,11.3416256156453
ENSSSCG00000004391,1.55361245094789,2.13065221103163
ENSSSCG00000052303,15.7432728362719,62.0183689734129
ENSSSCG00000032525,1.34646412415483,2.29454853495714
ENSSSCG00000004415,3.79771932453928,2.22899000538693
ENSSSCG00000004414,369.759763325597,350.115327169674
ENSSSCG00000004120,16.5718661434441,19.8314551949867
ENSSSCG00000004413,1.76076077774094,0.786702354842447
ENSSSCG00000004121,40.773695657099,43.727539223326
ENSSSCG00000004408,20.093387698926,23.1749402030671
ENSSSCG00000004412,101.502680128595,90.5691086012367
ENSSSCG00000031536,17.5730830562772,21.0442879920355
ENSSSCG00000004081,11.42768269475,9.60432458203487
ENSSSCG00000004411,13.0158198668301,13.6033948858173
ENSSSCG00000033392,0.586920259246979,1.77008029839551
ENSSSCG00000049158,6.49064757284895,7.89980281320957
ENSSSCG00000004382,176.248701379755,134.427764883703
ENSSSCG00000004082,295.53161289142,293.866108798439
ENSSSCG00000004383,44.2952172125808,74.9989578283133
ENSSSCG00000004384,0.172623605660876,0.852260884412651
ENSSSCG00000004385,124.254471354699,150.686280217114
ENSSSCG00000040199,6.04182619813067,7.50645163578835
ENSSSCG00000004387,99.0514249282108,125.151232949519
ENSSSCG00000025777,45.3309588465461,31.3697563993426
ENSSSCG00000004432,98.5680788323603,95.3221019950765
ENSSSCG00000004434,0.72501914377568,0.491688971776529
ENSSSCG00000037424,19.506467439679,36.647218029744
ENSSSCG00000004392,89.0392557998799,43.8586562824664
ENSSSCG00000004393,58.7265506458301,37.5322581789417
ENSSSCG00000004394,28.4483702129124,13.505057091462
ENSSSCG00000004419,1.48456300868354,1.90119735753591
ENSSSCG00000041409,4.28106542038973,2.49122412366775
ENSSSCG00000025703,60.8325586348928,51.7256798308909
ENSSSCG00000004420,48.4036590273097,31.4353149289128
ENSSSCG00000004421,54.583584109969,54.9052685150458
ENSSSCG00000004422,1.27741468189048,0.360571912636122
ENSSSCG00000004094,1.24288996075831,0.32779264785102
ENSSSCG00000004423,4.48821374718278,4.22852515727815
ENSSSCG00000035574,0.448821374718278,0.393351177421223
ENSSSCG00000004425,147.386034513256,171.042203648662
ENSSSCG00000024361,15.1218278558928,14.0623045928087
ENSSSCG00000004065,33.696127825003,11.1777292917198
ENSSSCG00000004070,59.0372731360197,66.214114865906
ENSSSCG00000004370,33.7997019883996,36.8111143536695
ENSSSCG00000026382,58.0360562231866,62.4772786804043
ENSSSCG00000004106,59.6241933952666,55.2658404276819
ENSSSCG00000038554,39.4962809752085,38.4500775929246
ENSSSCG00000004104,24.5816014461088,27.1084519772793
ENSSSCG00000004369,8.07878474492901,16.3240738629808
ENSSSCG00000005575,47.0226701820227,63.1000847113213
ENSSSCG00000022804,27.1364308098897,29.5013383065918
ENSSSCG00000030067,100.501463215762,80.37475725307
ENSSSCG00000028867,20.3695854679834,24.1583181466201
ENSSSCG00000004371,10.4955152241813,33.5331878751593
ENSSSCG00000004109,0.79406858604003,10.9482744382241
ENSSSCG00000004110,74.0555268285159,105.549232608028
ENSSSCG00000005167,0.863118028304381,0.458909706991427
ENSSSCG00000028974,18.8159730170355,34.2871109652166
ENSSSCG00000033175,44.6404644239026,82.308733875391
ENSSSCG00000004373,17.2278358449554,13.177264443611
ENSSSCG00000048240,3.38342267095317,1.80285956318061
ENSSSCG00000058958,0,0.819481619627549
ENSSSCG00000063189,0.621444980379154,0.360571912636122
ENSSSCG00000004374,17.6421324985415,12.6200169422643
ENSSSCG00000056379,71.1899749745453,64.4112553027253
ENSSSCG00000055261,0.517870816982629,0.16389632392551
