,endo00.txt,endo03.txt,endo06.txt,endo09.txt,endo12.txt,endo15.txt,endo18.txt,ovary00.txt,ovary03.txt,ovary06.txt,ovary09.txt,ovary12.txt,ovary15.txt,ovary18.txt,ovid00.txt,ovid03.txt,ovid06.txt,ovid09.txt,ovid12.txt,ovid15.txt,ovid18.txt
ENSSSCG00000036868,16.1819080461029,20.2611452368663,16.190119700077,13.605257497531,13.494147803859,8.31065273398704,12.9788845370752,48.4081194312402,13.7985171691417,10.817416304802,16.6033047736521,8.40575718263284,8.33268030943113,17.5429250482385,14.7409661657123,12.9743383117588,11.7030403211181,15.3037007231209,9.24607877505809,11.1060510024024,10.6231160577503
ENSSSCG00000038967,113.491189700264,138.983786490744,106.138688572236,81.6661639610069,115.509905201033,82.216100261229,95.5691872410624,110.419980454471,165.23914897301,145.666785151043,156.901230111013,145.870073539501,110.594011428298,98.3680873873448,157.528757196056,228.792999129352,204.607653531939,238.750457850934,283.085236656797,194.488458137561,177.592287601807
ENSSSCG00000021890,400.471105087111,377.387798268382,484.053444186726,461.990232327103,708.496736293811,488.250848121739,424.215126972816,484.151863099893,488.170191671818,400.51580798783,448.631061633948,418.615995824599,424.185507001979,433.834520014771,367.263643971867,348.283004911048,302.684546711489,346.00362861526,324.557611892367,375.83819280809,360.979002144205
ENSSSCG00000003894,1.71154796641473,29.7845226510401,2.52192249174277,29.6338433025103,21.0868549681636,0.791490736570194,1.11492620472672,0,6.8230236830839,0.232632608705419,4.83449168409283,7.70914747136493,0.743989313342066,0.067214272215473,9.83898216761317,55.3483281432573,6.34792161376842,72.9550639461876,82.9110056580939,16.290838738272,14.1066703494152
ENSSSCG00000035074,4.29442944300422,1.94941618209597,0.840640830580922,0.311570782386207,2.91473592563354,31.7915445855695,26.4723503994089,2.08472923098042,13.9128695213722,4.18738695669754,7.81331989348336,9.14880754131862,0.855587710343376,2.28528525532608,5.81235245488892,6.93513224336977,5.53562832669853,9.41766198345902,10.1909335403925,5.24370577832262,4.38031084199446
ENSSSCG00000003379,29.1274344829851,32.596795176031,31.8198121797668,49.4012784961241,37.4237699093688,17.544711327306,14.5512163642539,27.8788366651449,30.9894874544537,25.2794101459889,30.0812815899109,47.9731887826504,54.6088155993076,60.6608806744644,34.1738313010336,45.1944981601417,43.6833278824253,42.6658267561438,35.7695018305167,63.8376989978939,29.2825504319157
ENSSSCG00000027869,29.9365298852903,27.611402972638,33.5010938409286,34.7574517239724,51.3857148370949,40.7287941526746,27.4157494957161,31.659616795906,38.8416823076117,26.8690663054759,34.0367747859869,24.381339894377,29.0155832203406,50.0746328005274,22.2339988485209,25.5173047614897,30.054851621586,34.6480874999557,31.6863794517502,31.0203493515377,23.7985392202848
ENSSSCG00000036876,19.9161945182804,16.4901434419921,16.594872692579,19.1442936288414,26.7364048487125,21.7989740363708,15.0943855409156,22.1899992721306,19.3636649776906,13.9191844208742,12.257145582902,14.8145665262977,12.0154274104744,20.7692101145812,18.7675958784365,24.9200206448359,24.5493082314456,19.4398360536941,29.0542840340329,21.7112986439538,17.9006403700403
ENSSSCG00000003384,54.4583443859231,51.1961430117663,51.3724952021675,54.0748402319172,84.4193886609416,57.2841420592678,57.8618112401766,60.033134973487,77.7595995167104,71.3794387711128,65.8272201025973,66.5494477497948,51.4096615519367,35.7579928186316,43.5576292402519,44.6967613962635,46.9325010307049,43.4930538222584,40.2913067789028,40.5356132077074,41.8026514999786
ENSSSCG00000036772,18.5780751990835,19.4302465363008,19.8951663237485,20.5982906133103,23.4618249816428,17.1159871783305,24.9857821264399,20.4939483723499,17.4196749897729,17.3311293485537,14.4546418029442,20.7589693957839,22.1336820719265,17.1396394149456,28.5015355318047,15.2307449746733,14.6513641038162,11.8357103305634,14.375290358302,21.4167084316884,31.0070822594726
