,endo00.txt,endo03.txt,endo06.txt,endo09.txt,endo12.txt,endo15.txt,endo18.txt,ovary00.txt,ovary03.txt,ovary06.txt,ovary09.txt,ovary12.txt,ovary15.txt,ovary18.txt,ovid00.txt,ovid03.txt,ovid06.txt,ovid09.txt,ovid12.txt,ovid15.txt,ovid18.txt
ENSSSCG00000006200,2.19561237581297,1.51040140850497,1.98565839136125,2.72499158359403,1.41113033534201,2.4620723512798,1.68402948862371,-0.921593748529916,-3.86610106456063,-2.77474842892397,-2.58861777685017,-2.63075376486926,-3.86610106456063,-2.30039884888995,2.58158567494911,3.5666138815305,3.11149613677429,2.23688318615903,1.37820034113724,1.78925575198942,1.60158850206433
ENSSSCG00000006120,4.92940707834428,4.96915732301242,5.1306428467555,5.39323672362105,3.2197983613378,5.25145807230587,5.09119700096075,5.22698479861059,5.51877526936631,5.6848637738998,4.72988966543422,5.35203322758216,5.43982091283607,5.42010674679148,5.62551963767038,5.82302240588665,5.90321520117595,4.98903607143682,5.96726000993958,5.61817527361896,5.96490989439555
ENSSSCG00000057079,-0.137976717149444,-0.786122342085896,-1.96924023950582,0.146847534762021,0.592592429712822,1.63348973037127,0.902739542072081,3.295850801404,1.9980782518516,1.25996795291748,2.20478865911793,-0.144791672720305,7.66765395709157,3.99073139571805,0.410437107274689,-1.9014558250948,-2.00527236359042,-1.94632160121596,-1.07851448475532,1.60593953196131,-0.398986102503222
ENSSSCG00000006153,2.70958637388358,4.21008766393255,3.5953398067551,3.41908073762562,2.62057238645027,3.21763954112183,2.5608370473295,4.23504835473561,4.55291128018231,4.06193235291768,4.20397459011304,4.01645004358371,6.90330397274426,7.23162878639114,2.85029305726357,2.51338824374823,2.83562854676486,3.29342983686942,2.57867789739098,3.84951092274552,2.91045539897532
ENSSSCG00000006201,7.48784822235656,6.92148374577253,7.16778949454342,7.62140757425011,7.60942912760157,8.29580281032193,7.84621113750848,6.38358456338557,7.23999114151707,7.24070530457305,7.09181608997183,7.07609086202697,6.66497069061592,6.42686218880147,6.51499886984774,6.71777145889343,7.09755834846748,6.96995220992035,7.08953136622813,6.7000308789158,6.71551662225586
ENSSSCG00000005994,8.32908142554378,6.77425432525094,8.86784891654597,9.22785637930883,9.1513259249245,9.16316072653218,8.53548175365102,5.94286823278352,6.98521273292084,10.4016789589628,9.76589735514284,8.65475781411742,4.12746209283138,4.67104251280417,4.71474968956589,5.85645702586243,5.59289471885773,5.62783046861509,4.79911610636022,4.97869027194131,4.31474667392452
ENSSSCG00000005995,2.37075089087031,3.27617317143629,2.29115525233809,2.60698210924569,1.15551726539436,2.43593261623909,2.12325417309732,4.17140284658074,2.02535140491718,3.31548840669867,2.43066045584097,1.44132144965817,1.62374269092375,0.988546499311143,0.206665235316953,-1.00014357061172,-0.134545851736005,-0.210915194961422,-0.564936875329494,-0.422489791907043,2.27151102597116
ENSSSCG00000006168,4.53543292706119,3.93059130732483,5.09165583296227,5.31007400277587,5.14882095435676,4.55357612469334,4.59161707996162,3.25905083825504,4.13458944815258,4.42430239601828,4.26020457464346,4.19166605904106,3.44541173698904,3.49740292170971,4.37587010870505,4.32751446070725,4.41945768949568,4.40995534368758,4.34690076155478,3.88446390311203,4.06415456290839
ENSSSCG00000006121,1.40678674695892,2.08916896891759,-0.81925149476517,-0.531740089080168,0.369659304616367,0.603733952878023,0.407563476427549,1.98380945387846,2.30673221100941,2.56636826520774,2.37742056626465,1.77074643370292,1.22511790099524,1.5974148546724,2.50356374936454,2.44470277718894,2.87757388220492,2.51901379900641,2.98752439410812,2.59663916414784,2.14221672491036
ENSSSCG00000040562,-3.86610106456063,-3.86610106456064,-2.934034849705,-2.8591806852482,-3.86610106456063,-2.89393588748134,-2.45063772935267,0.422896533222539,1.88351750381256,3.04430505876545,2.97854294483626,1.75097686603082,-0.0568430706120298,0.060995383306492,-0.083244234037683,0.17685471725447,0.882517421094746,0.423562350534454,0.433900765061453,0.756019316839023,0.75671430373533
