genes	endo03	endo06	endo09	ovary03	ovary06	ovary09	ovid03	ovid06	ovid09
ENSSSCG00000005130	0	0	0	-2.05215901800584	-2.23690123500926	-5.67108896591422	0	0.0738158807816614	0
ENSSSCG00000005131	-3.28627070619881	1.84422294900774	2.09636202342459	-4.39264705571489	-2.44688466226976	-8.42547042322067	-2.84700462125843	-0.96710663934879	-4.66838527034703
ENSSSCG00000005136	1.19404016056062	3.65581169183586	5.11710476238727	-2.20437365943305	-2.30402222732341	-4.10933418943525	0.391055294680917	-0.759078356003714	-0.764532231332807
ENSSSCG00000005167	1.57011787029634	2.89607234031175	3.7182268785133	-7.56773944419358	-3.38951504664901	-7.42966052322631	5.88299236995417	4.9360205272345	3.88822356206515
ENSSSCG00000005203	0.116239954721851	-1.90456423488282	-1.42174774635609	-5.43748997588471	-5.52204676767553	-6.68542869108448	-0.86680481476591	-1.58317664862161	-1.05714358704252
ENSSSCG00000005216	1.07751791941758	0	0	7.51092025709664	6.81199677133887	6.5421829029287	3.07890634863341	3.35097792321378	3.48260558613987
ENSSSCG00000005236	0	9.33631435034389	9.09938730491415	0	0	0	0	0	0
ENSSSCG00000005504	-1.4604877588851	0	0	0	0	0	-5.82317274122776	-8.24214400221641	-4.00954042908956
ENSSSCG00000005638	0.637829097229171	-5.26447923966356	-5.70298394288349	-0.322578784748155	0.00293329727993413	0.479590702270843	-1.17055779128139	2.74342675435648	1.90124676095492
ENSSSCG00000005707	-2.07677338830593	-7.99362046815497	-3.73661473533597	-7.67820736676378	-3.49998166021317	-3.20352806557723	-0.0323436695808196	-0.613311160043484	-1.07779595551619
ENSSSCG00000005742	-5.68843185503763	-2.31040496910246	-2.77287767250176	0	0	0	-1.26281016604231	-1.74119132087201	-1.88569995956905
ENSSSCG00000005756	-4.58748311501764	-9.60297790204544	-9.2611705946306	0	8.0052222323223	0	-4.72428412748769	-4.85599810497266	-8.78528664021476
ENSSSCG00000005834	-1.9405722064904	-2.98353600268919	-7.56084553033872	0	0	0	-0.484306090499766	0.438337496792894	0.38331508318553
ENSSSCG00000005938	-0.765498845126882	1.14356753061678	2.079876639761	-7.2807640522631	-6.3143090802607	-11.313254367623	-2.95876616313275	2.0321219080075	0.425194150261888
ENSSSCG00000005939	-3.911325992177	-8.0807503002262	-8.00242822410104	0	0	0	0	0	0
ENSSSCG00000006034	0	0	0	-1.77384965043606	-2.55531391467891	-5.42624009081827	0	0	0
ENSSSCG00000006106	1.64966377766087	7.12434979551707	9.74824171911561	0	0	0	-3.57960926957929	-3.0437287443694	-3.94406830144113
