,endo00.txt,endo03.txt,endo06.txt,endo09.txt,endo12.txt,endo15.txt,endo18.txt
ENSSSCG00000004966,2.57559192614411,1.93787076824557,0.968997933376128,-0.0957447284463156,1.42505347351368,0.987454851167848,2.57019307796993
ENSSSCG00000026078,5.681170725958,5.7603363833557,5.96001728667404,5.59063186747571,5.43603868511531,7.01715956703462,6.73718576304586
ENSSSCG00000004968,3.28803629011667,2.30630642930234,0.321165108013316,-1.43222365132196,3.24367598994514,4.82554678709838,3.73913036390164
ENSSSCG00000005024,6.94764364999344,7.04622293017288,7.57486068414896,8.61996805314395,9.38922159911428,6.89257904586267,6.72712402561185
ENSSSCG00000004969,4.21254541622811,5.93478889182467,4.0670369969463,3.30252659488956,2.32136964261191,3.33475529330573,4.24845023781172
ENSSSCG00000004970,10.3055330256365,10.4652769406132,11.1062003163217,10.1261443460437,9.80992095256842,9.7132153212976,9.96770316846537
ENSSSCG00000023533,5.21629144831265,4.92983746488919,5.01073310209213,5.3678321059393,5.31071713678139,5.96948641104871,5.72258878721953
ENSSSCG00000004952,7.70785213830922,6.4432735077866,6.97322298029643,6.44608829831149,7.11568528401883,8.77410174656461,8.02498076955703
ENSSSCG00000005023,1.17235743049698,1.47835884656679,2.22924429232026,2.10080466084651,1.86120971013577,0.154291191884521,0.87187448355156
ENSSSCG00000004859,5.42409689887239,4.65852987415141,5.7884354510075,5.94406430680081,6.02360056841834,5.90561042968951,6.02937347159231
ENSSSCG00000005025,2.47610639402422,3.6323924481252,2.85159104152029,6.09960976657691,3.50688114504678,0.439805401023396,2.28024748054118
ENSSSCG00000004856,5.19298172382416,4.60790264088699,4.18406527496223,4.13678412671472,5.64395068004155,5.44837077266907,5.02406634876775
ENSSSCG00000004951,6.57443265075237,6.41763511079535,6.50267241795083,6.64333734616113,6.94239509819456,7.66196290058662,6.65995447239869
ENSSSCG00000038422,6.54456094315468,6.92614306953067,6.77426112681688,6.76178860381363,6.43108827654639,6.3558051535385,6.50074601737131
ENSSSCG00000057448,-0.157401186200038,-0.200360999921832,-0.798570096786321,-1.95728086439611,-0.932128675682683,-0.939525551930105,-0.827765544674905
ENSSSCG00000004954,2.03825213412378,2.32648661504442,2.45008064511642,2.38723437914383,2.72866365475089,2.44940864669766,2.12542463222983
ENSSSCG00000005002,1.66931544301644,1.30614054571364,2.05288421891374,2.87611933941651,1.89101156593376,2.01272395664768,3.06153264662735
ENSSSCG00000004955,4.68682549629489,4.68807480825375,4.65485152810302,4.33026573767756,4.63827582068829,4.26862116662332,4.65982685014341
ENSSSCG00000030679,3.33137997590144,2.68797932430827,2.98661132684929,2.94832913536896,1.990721665337,3.3788499491545,3.12931721417047
ENSSSCG00000004996,5.06044200156724,4.91492119316459,4.90915333939653,5.3073376117019,3.30029892378243,5.77236978800112,5.06591639225585
ENSSSCG00000027765,5.97488690532383,5.75289971629157,5.68632283947776,5.51418495552883,5.14900713291207,5.87600239199012,6.06309486022853
ENSSSCG00000004857,6.04020229850512,5.69780598326409,6.04056569571052,6.1224186066624,6.37683120728758,6.47627165975172,6.07570511738981
ENSSSCG00000004956,-0.326742920607567,-1.84622175937637,-1.88135032864089,-1.95728086439611,-1.57988285278292,-2.26345271452796,-0.677637123375248
ENSSSCG00000004997,6.4234919111495,6.1839287746163,6.234591311774,6.43104594652259,4.83508199579427,7.1354067242308,6.60789896595239
ENSSSCG00000021217,5.72245663347254,6.31153295376537,5.98096507822535,5.76670662752984,4.80995142870914,5.12500101879535,5.74270527646732
ENSSSCG00000004958,4.72344001545957,4.91158541764732,4.93959278741364,5.2268796192715,4.25854854036226,5.27513497218025,4.83868949996696
ENSSSCG00000005000,2.51839546148156,3.22272648370963,2.66475883093317,2.22228075550042,0.224831804166128,1.42144234431977,1.94040119568979
ENSSSCG00000026517,4.30965989603611,4.98483574913716,2.99273614827349,4.3754921674866,6.03198434437722,3.64671268227205,3.61367133847907
ENSSSCG00000004957,5.85459845714536,5.89902086170089,5.3589638020567,4.83194407336806,6.07318763694526,5.09153260016861,5.90621261605933
ENSSSCG00000004861,4.93804156634114,4.81847419598212,4.89940590366447,4.818520593848,4.73798389501399,5.45296174207669,4.97530962664174
ENSSSCG00000032488,5.51775623549623,5.25999157219758,5.60869027265342,5.44598470402696,5.77059123515131,5.94199005645932,5.5761305039053
ENSSSCG00000053589,1.63896978679228,1.80034583078828,1.95589994852408,1.69349368629836,2.0579468484862,1.56407113924554,1.46301939488772
ENSSSCG00000004999,4.62430296353817,4.91991043913995,4.35546174643666,4.56425776031,2.0044196380343,5.272540163946,4.90415760330095
ENSSSCG00000063467,3.89067374895913,3.96402752530852,3.9554365087394,4.44452966801016,4.53352549151231,4.08856486666544,4.15146441444865
ENSSSCG00000055454,-2.88569951469398,-3.85509885099552,-3.85509885099552,-1.16513260578925,-3.85509885099552,-3.85509885099552,-1.97446039547724
