genes,Min_FDR,Max_abs_logFC
ENSSSCG00000017009,5.84977048331988e-07,10.5890968464577
ENSSSCG00000039101,6.01009312073748e-07,6.80082644469853
ENSSSCG00000029289,6.03125899168272e-07,10.4207371597409
ENSSSCG00000036538,6.05451251449587e-07,10.3707946672412
ENSSSCG00000003048,6.11528736976729e-07,10.4181777237221
ENSSSCG00000033780,6.13642531917984e-07,10.4133251134006
ENSSSCG00000004218,6.17185236164175e-07,6.77538241336277
ENSSSCG00000025597,6.21677440848419e-07,10.1632050442646
ENSSSCG00000058788,6.21677440848419e-07,6.09208920859895
ENSSSCG00000038521,6.28930646006443e-07,6.08027965357936
ENSSSCG00000000659,6.31024395962711e-07,6.94364766229791
ENSSSCG00000058827,6.50071932595738e-07,7.2429309011542
ENSSSCG00000004530,6.5444442933355e-07,6.22566377400216
ENSSSCG00000015334,6.62497485711938e-07,6.24467680515452
ENSSSCG00000004158,6.65029982145067e-07,7.71134490784002
ENSSSCG00000014977,6.69619966653926e-07,6.11220659865587
ENSSSCG00000010148,6.70155741983597e-07,6.20148942670949
ENSSSCG00000012835,6.78034308168594e-07,6.2118818664746
ENSSSCG00000039553,6.79456006362359e-07,6.55142693845529
ENSSSCG00000046140,6.80841773642087e-07,7.86768959144121
ENSSSCG00000061793,6.88104140943718e-07,7.3374377294663
ENSSSCG00000001736,6.95011857384771e-07,10.2005299969111
ENSSSCG00000027232,7.06789970665531e-07,6.36736528022896
ENSSSCG00000012254,7.09115883047907e-07,7.16475032350432
ENSSSCG00000030388,7.15297811679518e-07,6.06361915998705
ENSSSCG00000008769,7.19198833375834e-07,6.36085290456912
ENSSSCG00000024346,7.24999495860142e-07,6.89569263008008
ENSSSCG00000055617,7.35146452280442e-07,6.47354499942426
ENSSSCG00000001213,7.38123256337206e-07,6.83288155978054
ENSSSCG00000005106,7.52817946981771e-07,6.17656376783908
ENSSSCG00000054576,7.85345866373737e-07,10.5847671467369
ENSSSCG00000038182,7.87401358308364e-07,7.24290478130496
ENSSSCG00000000873,7.91880336784823e-07,6.23982075490026
ENSSSCG00000052717,8.12458264625492e-07,10.0771258252894
ENSSSCG00000032795,8.2508124270936e-07,6.09805858561779
ENSSSCG00000013462,8.26724727226968e-07,10.3319571845084
ENSSSCG00000033260,8.26724727226968e-07,10.3319571845084
ENSSSCG00000058563,8.26724727226968e-07,7.7488383562501
ENSSSCG00000061676,8.26724727226968e-07,6.22220769934907
ENSSSCG00000024476,8.26724727226968e-07,6.08737770094773
ENSSSCG00000058308,8.36470678831062e-07,5.95885041668175
ENSSSCG00000033922,8.37008188815547e-07,9.75566846132284
ENSSSCG00000056525,8.41430720408875e-07,6.18655436817288
ENSSSCG00000015363,8.41430720408875e-07,6.07198094935326
ENSSSCG00000010948,8.45716685261501e-07,6.13536264106173
ENSSSCG00000028376,8.59355133195362e-07,10.0547788799464
ENSSSCG00000014727,8.62951633733451e-07,7.31908459754784
ENSSSCG00000060025,9.58969266910478e-07,6.28776466755547
ENSSSCG00000004803,9.76818245772762e-07,8.01256520937871
ENSSSCG00000007224,9.7739918086504e-07,7.4837281622601
ENSSSCG00000004644,9.89607240953303e-07,6.95998062996745
ENSSSCG00000039252,9.92946798634919e-07,6.65349813367694
ENSSSCG00000011756,9.92946798634919e-07,6.51026689059844
ENSSSCG00000062777,1.02767485074252e-06,10.0090189441775
ENSSSCG00000040689,1.03899698299129e-06,7.04847756424962
ENSSSCG00000017797,1.0502230406827e-06,5.9073266774534
ENSSSCG00000004283,1.06146355394738e-06,9.7293827660301
ENSSSCG00000012490,1.07835792735576e-06,6.42091078239735
ENSSSCG00000010400,1.07835792735576e-06,5.88328430075352
ENSSSCG00000006149,1.08862615222196e-06,10.3086752856437
ENSSSCG00000029414,1.12879360370183e-06,6.22525169593156
ENSSSCG00000005742,1.14672426065939e-06,10.3816225503701
ENSSSCG00000045074,1.16252146226818e-06,9.97372058391506
ENSSSCG00000011241,1.1738136844129e-06,10.0687708816452
ENSSSCG00000006791,1.22847560209138e-06,6.12512943777589
ENSSSCG00000012668,1.27006300990921e-06,10.152971734995
ENSSSCG00000004157,1.28277592686397e-06,6.26693544109132
ENSSSCG00000016892,1.28376942838238e-06,6.11057307890683
ENSSSCG00000015272,1.28642301988993e-06,6.06765904030665
ENSSSCG00000007868,1.33225559219126e-06,6.04919161178867
ENSSSCG00000022721,1.39566593086013e-06,5.97568084903334
ENSSSCG00000008741,1.43351884167423e-06,7.24771116728415
ENSSSCG00000016182,1.47615805613263e-06,6.53111814048362
ENSSSCG00000024320,1.50553883564963e-06,10.2083120593402
ENSSSCG00000037207,1.53465326007796e-06,10.3784090103254
ENSSSCG00000001789,1.53465326007796e-06,9.90866629062141
ENSSSCG00000005474,1.5514183657371e-06,9.8569330777607
ENSSSCG00000037806,1.5582375806717e-06,10.2120730828328
ENSSSCG00000022405,1.5582375806717e-06,6.59955652122732
ENSSSCG00000009870,1.5736342427224e-06,6.21434246707593
ENSSSCG00000039557,1.61393865495081e-06,6.50239626532814
ENSSSCG00000042315,1.62199224968732e-06,6.49815277028419
ENSSSCG00000007691,1.62199224968732e-06,6.20146038641502
ENSSSCG00000010370,1.63868713598266e-06,5.84409016618119
ENSSSCG00000011322,1.65618502791805e-06,5.79946223264634
ENSSSCG00000028758,1.66325771699236e-06,10.1494523673235
ENSSSCG00000011793,1.68055804387801e-06,6.11703791559092
ENSSSCG00000022554,1.71699154232533e-06,7.17376859727367
ENSSSCG00000023261,1.72257095637906e-06,7.07845782766673
ENSSSCG00000060319,1.76105976495589e-06,5.96959125033554
ENSSSCG00000031955,1.78230454231755e-06,10.1240761300946
ENSSSCG00000004791,1.7882977622745e-06,5.77134210396965
ENSSSCG00000037416,1.7882977622745e-06,5.75639186838024
ENSSSCG00000004646,1.84060300324961e-06,5.99874535106422
ENSSSCG00000007847,1.84115610398907e-06,10.0971992591029
ENSSSCG00000016314,1.86467964969736e-06,9.82319962026042
ENSSSCG00000033251,1.86467964969736e-06,6.34274411996166
ENSSSCG00000014426,1.88614114858841e-06,6.86689257306078
ENSSSCG00000013236,1.95373780688939e-06,6.69188900130528
ENSSSCG00000015618,1.9872780312897e-06,5.95938221983593
ENSSSCG00000028671,1.99630692854096e-06,9.86827248825384
ENSSSCG00000035377,1.99854108518702e-06,9.95214364685858
ENSSSCG00000039854,1.99854108518702e-06,5.8814726747824
ENSSSCG00000057453,2.00294105177899e-06,10.4059456740482
ENSSSCG00000008449,2.01618852326227e-06,5.96160336139095
ENSSSCG00000039214,2.05661323189062e-06,7.42817227321359
ENSSSCG00000060795,2.07803931229924e-06,5.94072799044995
ENSSSCG00000007083,2.11345710575256e-06,6.89079705847694
ENSSSCG00000007486,2.1429515950663e-06,6.09234640197267
ENSSSCG00000007476,2.14741859656892e-06,10.0425412504657
ENSSSCG00000047187,2.14741859656892e-06,9.66048116522205
ENSSSCG00000017427,2.19970067834781e-06,6.14262672722257
ENSSSCG00000037358,2.22403398372227e-06,6.20769880367955
ENSSSCG00000002013,2.25217745253583e-06,5.85753665669384
ENSSSCG00000012650,2.28958093115102e-06,5.84268720766399
ENSSSCG00000016122,2.33371133555757e-06,6.98655252445278
ENSSSCG00000008976,2.37143211641102e-06,7.27270236099946
ENSSSCG00000012546,2.39521544200141e-06,10.0134228217651
ENSSSCG00000008134,2.43557507479109e-06,6.38529221854605
ENSSSCG00000028964,2.44796206652766e-06,5.83610280804304
ENSSSCG00000010610,2.45636951297687e-06,7.31054387200825
ENSSSCG00000008294,2.46410423869852e-06,5.66591677488933
ENSSSCG00000011524,2.53251820910803e-06,5.84615812666722
ENSSSCG00000015810,2.53627143736128e-06,6.04192927339373
ENSSSCG00000022919,2.58963241205506e-06,10.2048995459027
ENSSSCG00000029449,2.59998785570572e-06,9.98370455796218
ENSSSCG00000057692,2.61482660212226e-06,7.59226240084656
ENSSSCG00000000138,2.6270461969354e-06,10.0173265066738
ENSSSCG00000044295,2.71327856711573e-06,9.99565513181135
ENSSSCG00000016902,2.74704114661255e-06,6.04500575819992
ENSSSCG00000050073,2.76356271737152e-06,8.19964613285431
ENSSSCG00000009645,2.82427706963936e-06,5.61652177492146
ENSSSCG00000014833,2.89089929613922e-06,5.79034309563844
ENSSSCG00000006116,3.00002769181263e-06,5.74727078786665
ENSSSCG00000008888,3.02614696315503e-06,5.60665323559984
ENSSSCG00000058318,3.04652702232604e-06,10.0389095033258
ENSSSCG00000007978,3.05777582875997e-06,6.01932160666783
ENSSSCG00000022679,3.13069361519271e-06,5.81132656943364
ENSSSCG00000050380,3.15625409215646e-06,9.92236596351599
ENSSSCG00000012167,3.16907119619567e-06,6.00312000428805
ENSSSCG00000042539,3.18506547401296e-06,6.84344622538328
ENSSSCG00000001909,3.21087867907297e-06,5.73322331428225
ENSSSCG00000039855,3.21167482960184e-06,9.90831417578424
ENSSSCG00000010036,3.22376535159417e-06,5.70984030687587
ENSSSCG00000036274,3.27039472815304e-06,5.77068860752363
ENSSSCG00000056414,3.29620190367354e-06,9.65512514240317
ENSSSCG00000053703,3.29620190367354e-06,6.4483522095829
ENSSSCG00000004573,3.3258686898525e-06,5.87214776691593
ENSSSCG00000009517,3.36422477861275e-06,5.77921224518382
ENSSSCG00000014310,3.4159156702587e-06,6.03645083286391
ENSSSCG00000022309,3.51774986539302e-06,6.205649485316
ENSSSCG00000057883,3.51774986539302e-06,5.86910559134707
ENSSSCG00000031477,3.52919776557726e-06,6.1772961477839
ENSSSCG00000034358,3.6246915697324e-06,6.408291750784
ENSSSCG00000037028,3.62900804567948e-06,9.50314557051839
