Gene_name,genes,logFC,PValue,FDR
SFRP2,ENSSSCG00000009004,4.68375224680002,9.10968422139584e-07,7.54991810142257e-05
GKN3,ENSSSCG00000037028,8.70074948751145,9.44158820198423e-07,7.752202629285e-05
,ENSSSCG00000057979,8.70074948751145,9.44158820198423e-07,7.752202629285e-05
,ENSSSCG00000052276,5.78416919592096,9.53865484582901e-07,7.79564231451016e-05
RASL10A,ENSSSCG00000009977,4.97787451575009,9.62010479782407e-07,7.82597741916997e-05
KSR2,ENSSSCG00000009855,-5.77796813683165,9.82404637470493e-07,7.9188991165601e-05
SYCP2L,ENSSSCG00000051558,-5.77796813683165,9.82404637470493e-07,7.9188991165601e-05
,ENSSSCG00000015662,4.74581717869495,9.98257942656196e-07,8.01011248259537e-05
,ENSSSCG00000029231,5.24691107174221,1.02120306118624e-06,8.15714825299575e-05
SLC18A3,ENSSSCG00000022274,8.67167390077723,1.05594718467558e-06,8.3966827257108e-05
TMEM26,ENSSSCG00000023525,4.6429577508838,1.06421499761031e-06,8.42447863354923e-05
,ENSSSCG00000061709,-4.94398971687263,1.10335747342699e-06,8.69534351714582e-05
DSC2,ENSSSCG00000024800,4.64404837211271,1.11683249177157e-06,8.76241954544156e-05
OVGP1,ENSSSCG00000006791,-4.62636046790475,1.12898878041051e-06,8.8186013011446e-05
,ENSSSCG00000046140,6.25329422265139,1.14607678030525e-06,8.91264026551918e-05
,ENSSSCG00000054768,-4.65746824331418,1.19942971629968e-06,9.2474922262996e-05
EDN2,ENSSSCG00000037856,4.83517518018277,1.19961237173433e-06,9.2474922262996e-05
TUBB4A,ENSSSCG00000013545,4.67181215557551,1.26577450808559e-06,9.71509451792821e-05
CD1E,ENSSSCG00000006450,4.88438269616953,1.28587474714831e-06,9.82206210534005e-05
PCDHB7,ENSSSCG00000036961,-5.29627721850886,1.29083918225735e-06,9.82206210534005e-05
TNFSF18,ENSSSCG00000015487,4.72494654307683,1.31873765925152e-06,9.95557404101224e-05
MUC15,ENSSSCG00000013340,-8.70683021422053,1.32355032443064e-06,9.95557404101224e-05
IDO1,ENSSSCG00000007007,5.70257816604291,1.32530442397206e-06,9.95557404101224e-05
,ENSSSCG00000030168,-4.58367716735513,1.39974993957726e-06,0.000104702481709141
CLSTN2,ENSSSCG00000011666,4.84189860559441,1.4111620481363e-06,0.000105110732640296
,ENSSSCG00000051633,4.80813218783995,1.41788240971416e-06,0.000105167555372622
,ENSSSCG00000052099,-8.67992831022739,1.46578430040921e-06,0.000108265649603028
ASPG,ENSSSCG00000039553,4.76109580429858,1.48018032102616e-06,0.000108873430029478
,ENSSSCG00000043234,8.58075672423838,1.49543624306646e-06,0.000109086512391951
,ENSSSCG00000061787,8.58075672423838,1.49543624306646e-06,0.000109086512391951
MSMB,ENSSSCG00000010400,4.53127748483672,1.63184157080665e-06,0.000118546910491563
FFAR2,ENSSSCG00000032438,4.67373059518216,1.66308352954756e-06,0.00012007093595374
TMPRSS11E,ENSSSCG00000022140,5.64550234727137,1.66642379814572e-06,0.00012007093595374
,ENSSSCG00000052177,5.23008479577678,1.69187401565864e-06,0.00012140915446513
