Gene_name,genes,logFC,PValue,FDR
GLB1L3,ENSSSCG00000056489,-8.17403987005106,6.29814944372178e-06,0.00104152100170232
,ENSSSCG00000063099,-8.13112250659484,7.36768761445345e-06,0.00118632696360445
STMN2,ENSSSCG00000006160,-8.13112250659484,7.36768761445345e-06,0.00118632696360445
,ENSSSCG00000033434,-8.13112250659484,7.36768761445345e-06,0.00118632696360445
,ENSSSCG00000061608,-4.17939628282174,7.45869904491227e-06,0.00119053808407313
GFY,ENSSSCG00000035723,-5.25881662617579,7.68404274854632e-06,0.00121593352320962
,ENSSSCG00000032896,-4.42173539107446,7.7768546157863e-06,0.00122010207972114
,ENSSSCG00000058788,-4.14059084094429,8.22049964341989e-06,0.0012787753513103
PEG10,ENSSSCG00000036049,-4.13610204222314,8.41618298987938e-06,0.0012969996626753
FMO2,ENSSSCG00000015267,4.17855046413944,8.47896924825863e-06,0.0012969996626753
CALY,ENSSSCG00000034701,-8.08688918817689,8.65295630939415e-06,0.00130191529520688
HEPHL1,ENSSSCG00000030461,-8.08688918817689,8.65295630939415e-06,0.00130191529520688
TGM5,ENSSSCG00000004713,8.21306548548966,8.99765279969062e-06,0.00132701609492215
,ENSSSCG00000059290,8.21306548548966,8.99765279969062e-06,0.00132701609492215
KCNMB2,ENSSSCG00000011761,5.727408071534,9.0381319660451e-06,0.00132701609492215
,ENSSSCG00000054576,-4.4244188541717,9.10895772282584e-06,0.00132701609492215
ATP13A4,ENSSSCG00000011821,4.37153175310598,9.43989893037052e-06,0.00136439988004631
DKK1,ENSSSCG00000010428,4.37722823122623,9.97167650457599e-06,0.00142422960230034
MILR1,ENSSSCG00000032612,-4.1861874955075,1.00090225918906e-05,0.00142422960230034
MTCL3,ENSSSCG00000038602,-8.04125665406637,1.02047288643045e-05,0.0014409077156398
RIMS1,ENSSSCG00000004280,-4.35137986105791,1.03022841607085e-05,0.00144357807674783
SPINK9,ENSSSCG00000014426,-4.57717584454846,1.10494956167289e-05,0.00153654955712634
CBLN2,ENSSSCG00000020859,-4.75754396015996,1.11430757936128e-05,0.00153791202456809
,ENSSSCG00000039344,4.56915355013488,1.12817924480395e-05,0.00154543718041951
ASB4,ENSSSCG00000015333,-7.99413348277939,1.20875346832336e-05,0.00163146166651056
,ENSSSCG00000040548,-7.99413348277939,1.20875346832336e-05,0.00163146166651056
THRSP,ENSSSCG00000033822,-4.0860979364393,1.2255965847608e-05,0.00163994937749222
,ENSSSCG00000048861,-4.34833091354651,1.23291029687256e-05,0.00163994937749222
C3orf80,ENSSSCG00000035935,-4.26782026512123,1.26465191093792e-05,0.00167006837965298
PCSK9,ENSSSCG00000025020,-4.19502158416445,1.27969163492643e-05,0.00167785854647926
,ENSSSCG00000043729,5.11830028381759,1.3131512789712e-05,0.00170951807636847
EPHB1,ENSSSCG00000024492,-4.06443802203188,1.38760832933836e-05,0.00179372806291092
PTH2,ENSSSCG00000003171,-7.94541898945807,1.43839045054689e-05,0.00182090311105095
HECW1,ENSSSCG00000036443,-7.94541898945807,1.43839045054689e-05,0.00182090311105095
,ENSSSCG00000049100,-7.94541898945807,1.43839045054689e-05,0.00182090311105095
SCEL,ENSSSCG00000009474,4.32973582054992,1.4596188215732e-05,0.00183512075950669
DMRTA1,ENSSSCG00000005131,-4.66838527034703,1.57790447227963e-05,0.001970341121984
SNAI2,ENSSSCG00000039568,-4.03417185723226,1.64517420688685e-05,0.00202675850193438
C1QL4,ENSSSCG00000000197,-4.01094170923903,1.64758135988805e-05,0.00202675850193438
WNT7A,ENSSSCG00000039010,4.2976220648434,1.65620927920112e-05,0.00202675850193438
CYP24A1,ENSSSCG00000007486,4.19509096354986,1.67515113806928e-05,0.00203636253578806
BRINP1,ENSSSCG00000005504,-4.00954042908956,1.69553476011485e-05,0.00203693518733391
VNN1,ENSSSCG00000004181,-3.97536907474118,1.70219266960936e-05,0.00203693518733391
,ENSSSCG00000060679,-7.8950019304973,1.72000955565894e-05,0.00203693518733391
ZP4,ENSSSCG00000010141,-7.8950019304973,1.72000955565894e-05,0.00203693518733391
C16orf89,ENSSSCG00000025072,-3.9605443606771,1.80138315980373e-05,0.00211962751803572
