,logFC.groupovary,logFC.groupovid,PValue,FDR
ENSSSCG00000022396,0.202059969522159,-0.0279436435859348,0.302598216340572,0.35401873881945
ENSSSCG00000009542,-0.203406931241381,-1.09924589701075,0.302701763667171,0.354117148611537
ENSSSCG00000009358,-0.179049805520527,0.13480130200259,0.30282481259413,0.354238358348766
ENSSSCG00000033606,-1.36362903645991,-0.977969275326007,0.303040890886568,0.354468369416997
ENSSSCG00000027556,0.167379514367239,-0.272820271820591,0.303099664292135,0.354514362496622
ENSSSCG00000002041,0.864761548757392,0.613895232702661,0.30312587061073,0.354522260686045
ENSSSCG00000026414,0.171140943459318,-0.271621040272458,0.303151233887477,0.354529171941564
ENSSSCG00000062865,-0.265731457449171,-0.111633458161847,0.303240125484031,0.354610320334099
ENSSSCG00000010896,0.486411448267298,-0.373309359833331,0.303259539201434,0.354610320334099
ENSSSCG00000058184,-0.199205527667361,-0.495560471598131,0.303731135739861,0.355138984840448
ENSSSCG00000031199,-0.384069404241018,0.0559492998870827,0.304028448071399,0.355463812000589
ENSSSCG00000030668,0.304194980075223,0.0366519271346486,0.304314287813817,0.355775184829292
ENSSSCG00000010486,-0.250163434368142,-0.550955951402146,0.304449902436679,0.355910900122268
ENSSSCG00000046897,-0.190509100203343,0.167762017438903,0.304504223423867,0.355951569446861
ENSSSCG00000024529,0.252290009112763,0.258816415466881,0.304544737069553,0.355976094436247
ENSSSCG00000044150,-0.126009670297254,0.53493911893669,0.304853138632218,0.356313724886708
ENSSSCG00000021784,0.193725120472324,-0.0606230501603144,0.304940445340539,0.356392911940357
ENSSSCG00000056261,0.027540449215987,-0.501868767827544,0.305037099270278,0.356483012511322
ENSSSCG00000017287,0.181307089108362,-0.0158445447154587,0.305351042193695,0.3568270210284
ENSSSCG00000028293,-0.0484148473172061,0.211873234618702,0.305431435236313,0.356898081286648
ENSSSCG00000013779,-0.25804668924551,0.00466923691954464,0.305498542147731,0.356953608520886
ENSSSCG00000032472,-0.123508939773838,-0.377485600051939,0.305684992078827,0.357148563639219
ENSSSCG00000008677,0.689241387852928,-0.103149978797089,0.305710147788902,0.357150389036577
