Gene_name,genes,logFC,PValue,FDR
MOGAT1,ENSSSCG00000046102,4.36198369000615,3.62411807321983e-06,0.00040839280537596
CER1,ENSSSCG00000039169,8.37405967332542,3.70696048297642e-06,0.000413705344839324
PAPSS2,ENSSSCG00000010437,4.34525062666239,3.7171528488059e-06,0.000413705344839324
CACNA1E,ENSSSCG00000015543,4.36245280835771,3.80109753413811e-06,0.000420452690432577
BPI,ENSSSCG00000026605,4.54454770815988,4.15248091633268e-06,0.000456519700740721
OPCML,ENSSSCG00000037534,4.56945624758387,4.63215459452652e-06,0.000506168165692807
CLDN11,ENSSSCG00000011747,-4.46884150336645,4.86859851781202e-06,0.000528800188410546
DIO2,ENSSSCG00000040638,-4.27329099556465,5.36692901906847e-06,0.000579435510262302
VEPH1,ENSSSCG00000011726,4.57977338319944,5.41926570586448e-06,0.000581603337361527
IGF2BP1,ENSSSCG00000023128,8.26477843755537,5.54477317755403e-06,0.000591398390090018
,ENSSSCG00000059381,4.44620686803719,5.57613568027194e-06,0.000591398390090018
GRIN2C,ENSSSCG00000023151,-8.27800634143594,5.70677904779972e-06,0.00060171477328555
FAM131B,ENSSSCG00000028274,4.50697501384527,5.95732464163666e-06,0.000624480019120401
NGFR,ENSSSCG00000017548,4.41073709696406,6.16019860459836e-06,0.000642013762086176
,ENSSSCG00000061605,-4.28796652564559,6.20952099800874e-06,0.00064343484824194
CIDEB,ENSSSCG00000001989,4.65971704605156,6.27075123591742e-06,0.00064606654162052
,ENSSSCG00000058484,-5.30057410248736,6.50952222163397e-06,0.000662324488895587
TRPC5,ENSSSCG00000012587,-8.24065394104781,6.53875535348943e-06,0.000662324488895587
TAF7L,ENSSSCG00000012493,-8.24065394104781,6.53875535348943e-06,0.000662324488895587
,ENSSSCG00000060272,4.50325164894515,6.62282172233937e-06,0.000667059566651681
CDH20,ENSSSCG00000004903,-4.70230539248287,6.69001900052108e-06,0.000667059566651681
MUC6,ENSSSCG00000012835,4.23914012551694,6.69649370848332e-06,0.000667059566651681
MT3,ENSSSCG00000024305,4.18361580553144,6.87572314829877e-06,0.000681149936064983
GABRP,ENSSSCG00000021902,4.17177344699458,7.21581749370412e-06,0.000710935461264947
NPPC,ENSSSCG00000026852,4.86360077543717,7.30680538852116e-06,0.000715987506277372
FAXDC2,ENSSSCG00000017068,4.16299458562235,7.49230781261712e-06,0.000728406264705035
SCGN,ENSSSCG00000001101,-8.20230869812314,7.51434083389554e-06,0.000728406264705035
CLU,ENSSSCG00000009668,-4.14567574666372,7.92305905532779e-06,0.000763918474692835
FXYD3,ENSSSCG00000024666,-4.3947310488419,8.0589930925122e-06,0.000772891731159548
TSPO,ENSSSCG00000000033,4.11006125042409,9.2771343503636e-06,0.000883029706380608
,ENSSSCG00000063556,-4.44426207853657,9.30536018925766e-06,0.000883029706380608
,ENSSSCG00000061814,4.11342602997039,9.61839058914294e-06,0.000907955928388729
KRT15,ENSSSCG00000017444,8.10486549504538,9.90115531852013e-06,0.000929780366629781
EGFL6,ENSSSCG00000012121,4.28958393014223,1.09638185012264e-05,0.00102423651594359
IER3,ENSSSCG00000027607,-4.1286359357479,1.11517767598039e-05,0.00103642543803744
BTBD16,ENSSSCG00000010701,-4.64230531431012,1.14965854709452e-05,0.00105866619867154
,ENSSSCG00000024459,8.06195556531974,1.15448767485611e-05,0.00105866619867154
,ENSSSCG00000004180,-8.0807503002262,1.1625951599388e-05,0.00105866619867154
FAM135B,ENSSSCG00000005939,-8.0807503002262,1.1625951599388e-05,0.00105866619867154
RASGEF1A,ENSSSCG00000010201,4.20054385591668,1.21562265197457e-05,0.00110139077462821
HSD11B2,ENSSSCG00000002777,4.02342530297747,1.35510217610328e-05,0.00121705113125129
APLN,ENSSSCG00000048443,4.09210422101717,1.35677913134504e-05,0.00121705113125129
NGF,ENSSSCG00000032417,4.24542594551449,1.37780865169343e-05,0.0012239346412578
SERPINA3-2,ENSSSCG00000060202,-4.41407901165586,1.37802957390646e-05,0.0012239346412578
RFK,ENSSSCG00000037277,4.00927641454382,1.38576742524802e-05,0.00122477385672656
FOXP2,ENSSSCG00000016639,-4.68833910493605,1.44834853166213e-05,0.00127384019638382
LINGO3,ENSSSCG00000013462,-4.38929352511335,1.5190965972142e-05,0.00132957823532874
SOX7,ENSSSCG00000031889,-4.01413523554888,1.57091053162915e-05,0.00136543675728301
FIBCD1,ENSSSCG00000005707,-7.99362046815497,1.58278581404409e-05,0.00136543675728301
,ENSSSCG00000057157,-7.99362046815497,1.58278581404409e-05,0.00136543675728301
,ENSSSCG00000047955,5.06786471345713,1.59774040706654e-05,0.00137177426378142
,ENSSSCG00000040088,3.96037874602532,1.74210504016543e-05,0.00148863288503236
NCF1,ENSSSCG00000007722,3.95865919319309,1.75733844288443e-05,0.00149456660967954
ACP5,ENSSSCG00000032282,-3.95117256091738,1.78553306415231e-05,0.00151141601627541
,ENSSSCG00000023320,3.99468238824249,1.95305193805359e-05,0.00164549188986478
SOD3,ENSSSCG00000028814,-3.91872338424863,2.02256177135447e-05,0.00169612970872192
RRAGD,ENSSSCG00000004318,3.94707800430562,2.04319719580081e-05,0.00170550210371707
SLC6A15,ENSSSCG00000000936,3.91782153175407,2.05361320783918e-05,0.0017062970570203
,ENSSSCG00000047137,3.9265078463984,2.09753139954144e-05,0.00173204964319656
TEX12,ENSSSCG00000058261,-4.59177964326103,2.10382069805905e-05,0.00173204964319656
,ENSSSCG00000053238,-7.9008883812666,2.189037556841e-05,0.00179401577953833
,ENSSSCG00000033256,7.87628688850724,2.22109892043467e-05,0.00179798670602167
,ENSSSCG00000052521,7.87628688850724,2.22109892043467e-05,0.00179798670602167
CCL28,ENSSSCG00000016871,3.88813483661515,2.22668906698971e-05,0.00179798670602167
PPP1R14C,ENSSSCG00000004094,-4.97917996852641,2.2337716148023e-05,0.00179798670602167
,ENSSSCG00000054930,4.37646122550715,2.40743630513325e-05,0.00192915895918011
TNFSF13B,ENSSSCG00000009542,-3.92464036215515,2.42510784037212e-05,0.00193472098946501
TNNI2,ENSSSCG00000033260,-4.22181637358298,2.52512714698555e-05,0.00200564063701099
GREB1L,ENSSSCG00000003699,3.87457657273835,2.56321637877435e-05,0.00202696453110972
,ENSSSCG00000040548,-7.8521869137254,2.59095171933609e-05,0.00203108084780998
PGAM2,ENSSSCG00000016720,-7.8521869137254,2.59095171933609e-05,0.00203108084780998
,ENSSSCG00000046939,7.82588008830447,2.6450038427658e-05,0.00204675619249216
NR0B1,ENSSSCG00000012199,7.82588008830447,2.6450038427658e-05,0.00204675619249216
,ENSSSCG00000057335,7.82588008830447,2.6450038427658e-05,0.00204675619249216
,ENSSSCG00000051524,4.24123839099877,2.71265334423616e-05,0.00209013417934094
LOXL4,ENSSSCG00000010532,-4.11832457152231,2.77428188820953e-05,0.0021285235082731
,ENSSSCG00000003753,-4.91420813399658,2.85256677952505e-05,0.00217931267096765
ODC1,ENSSSCG00000027121,3.82220778881039,2.8896895696524e-05,0.0021983587738748
