,endo00.txt,endo18.txt
ENSSSCG00000035696,4.25174852107332,4.33603103710729
ENSSSCG00000004849,2.55287688872766,2.03334553338121
ENSSSCG00000004850,1.72328214646972,1.19749123189776
ENSSSCG00000004854,7.82104950528336,7.83493650812489
ENSSSCG00000004974,3.616577587711,3.33853376701683
ENSSSCG00000004976,4.06741903397166,3.31500373417867
ENSSSCG00000036984,-0.513441992661431,-2.33123337311429
ENSSSCG00000004980,5.8243616706751,5.54961735571274
ENSSSCG00000004875,8.01918068762476,7.63850698062208
ENSSSCG00000037781,2.45453130239478,2.54304943075208
ENSSSCG00000005781,0.25421954332059,0.278972109203623
ENSSSCG00000004979,4.52498336773571,5.13426777519351
ENSSSCG00000020859,-0.375468648193627,-1.46449683096693
ENSSSCG00000025616,4.85791498965794,4.54464014824638
ENSSSCG00000026167,0.811584095273449,0.461505337119747
ENSSSCG00000004985,4.32189334148375,4.3336911696446
ENSSSCG00000004844,5.89679832937916,6.77757458110238
ENSSSCG00000004986,4.76211314512776,4.80663849964602
ENSSSCG00000004845,5.30924957457777,5.27261788536237
ENSSSCG00000022828,7.79753512121446,7.61726090430598
ENSSSCG00000032494,4.65144490138691,4.5365245140333
ENSSSCG00000004873,4.03993414402987,3.51824280865978
ENSSSCG00000004983,6.21822778296773,6.22539216534458
ENSSSCG00000032214,5.76963601382514,5.94943502514927
ENSSSCG00000032574,4.12086614682856,3.7464687347885
ENSSSCG00000038398,0.211058817510025,-1.92044366075926
ENSSSCG00000028977,-0.0791431301056787,-2.33123337311429
ENSSSCG00000005782,3.76571310469835,3.8118113475049
ENSSSCG00000040252,4.72998593739612,4.5365245140333
ENSSSCG00000038208,-1.03023209773414,-1.60107025434688
ENSSSCG00000062837,-0.836662883983281,0.0242527563838847
ENSSSCG00000041275,1.29760026284815,2.4160973861447
ENSSSCG00000056587,0.48914012997179,0.560877773633032
ENSSSCG00000060706,1.78344790010376,1.91312291494895
ENSSSCG00000054784,2.99588417922208,2.24735673478214
ENSSSCG00000034069,2.20242600853413,2.48519219439091
ENSSSCG00000060600,5.41644535999437,5.54051560417421
ENSSSCG00000060688,-0.666019519283034,-1.60107025434688
ENSSSCG00000061619,-1.84314430055124,-0.405228940701674
ENSSSCG00000004989,4.34203851813861,4.61569684703897
ENSSSCG00000050768,-1.03023209773414,-2.33123337311429
ENSSSCG00000060152,1.72328214646972,1.66771181043637
ENSSSCG00000053633,-1.84314430055124,0.0699528418469002
ENSSSCG00000062595,-0.930203478086164,-1.75193737216417
ENSSSCG00000053742,1.43523769403073,1.02259419650501
ENSSSCG00000056642,6.37431704050349,5.88856830884996
ENSSSCG00000062224,1.39723413639826,0.901433464308086
ENSSSCG00000054354,0.811584095273449,1.04565146789176
ENSSSCG00000063030,-0.587714645520317,-0.757626216140868
ENSSSCG00000058062,-1.51862014380227,-0.926838884110634
ENSSSCG00000019587,-0.836662883983281,-0.405228940701674
ENSSSCG00000019949,-1.67177646583035,-1.11856862123483
ENSSSCG00000034963,1.49042946030626,0.712652304191645
ENSSSCG00000004075,1.73856044693291,2.46822624164525
ENSSSCG00000004076,3.7279370002531,3.77434295977524
ENSSSCG00000004077,2.46375404013893,2.2373775771223
ENSSSCG00000004101,3.7164085547575,3.87753845104507
ENSSSCG00000004103,5.31180544111909,5.31830432779016
