Gene stable ID,Gene name
ENSSSCG00000034039,SLC11A2
ENSSSCG00000054403,
ENSSSCG00000057357,
ENSSSCG00000035481,
ENSSSCG00000038538,
ENSSSCG00000039298,
ENSSSCG00000025289,
ENSSSCG00000057691,
ENSSSCG00000040497,U6
ENSSSCG00000045885,
ENSSSCG00000062423,U6
ENSSSCG00000034543,U6
ENSSSCG00000023048,Metazoa_SRP
ENSSSCG00000031968,
ENSSSCG00000053640,U6
ENSSSCG00000035326,HIGD1C
ENSSSCG00000035675,
ENSSSCG00000062916,
ENSSSCG00000062893,
ENSSSCG00000060914,
ENSSSCG00000026890,GALNT6
ENSSSCG00000034707,
ENSSSCG00000060010,
ENSSSCG00000031760,
ENSSSCG00000033667,
ENSSSCG00000047232,CELA1
ENSSSCG00000062730,
ENSSSCG00000057283,
ENSSSCG00000000223,BIN2
ENSSSCG00000034912,
ENSSSCG00000061033,SMAGP
ENSSSCG00000022674,DAZAP2
ENSSSCG00000047674,
ENSSSCG00000054822,
ENSSSCG00000045633,
ENSSSCG00000000220,POU6F1
ENSSSCG00000031206,TFCP2
ENSSSCG00000053591,
ENSSSCG00000037029,CSRNP2
ENSSSCG00000032096,LETMD1
ENSSSCG00000062076,
ENSSSCG00000031749,
ENSSSCG00000032117,U6
ENSSSCG00000036072,
ENSSSCG00000035681,
ENSSSCG00000025314,
ENSSSCG00000036110,
ENSSSCG00000034172,
ENSSSCG00000033437,
ENSSSCG00000055079,
ENSSSCG00000058237,
ENSSSCG00000033365,
ENSSSCG00000038438,
ENSSSCG00000037610,
ENSSSCG00000039371,
ENSSSCG00000062277,
ENSSSCG00000031150,
ENSSSCG00000052422,
ENSSSCG00000057008,
ENSSSCG00000044144,
ENSSSCG00000038667,
ENSSSCG00000055688,
ENSSSCG00000055961,
ENSSSCG00000014516,
ENSSSCG00000062657,
ENSSSCG00000053681,
ENSSSCG00000063307,
ENSSSCG00000061943,
ENSSSCG00000060882,
ENSSSCG00000056072,
ENSSSCG00000035930,
ENSSSCG00000040826,
ENSSSCG00000031279,
ENSSSCG00000057181,
ENSSSCG00000037528,
ENSSSCG00000055859,
ENSSSCG00000035457,
ENSSSCG00000040233,
ENSSSCG00000056861,
ENSSSCG00000052355,
ENSSSCG00000061109,
ENSSSCG00000051902,
ENSSSCG00000057676,
ENSSSCG00000054278,
ENSSSCG00000057476,
ENSSSCG00000062294,
ENSSSCG00000021494,CDC25A
ENSSSCG00000057094,
ENSSSCG00000053602,
ENSSSCG00000059830,
ENSSSCG00000057562,
ENSSSCG00000061489,
ENSSSCG00000055028,
ENSSSCG00000058176,
ENSSSCG00000032712,
ENSSSCG00000016728,IGFBP1
ENSSSCG00000031920,
ENSSSCG00000031673,
ENSSSCG00000059167,
ENSSSCG00000016726,ADCY1
ENSSSCG00000053533,NPG3-PG-2
ENSSSCG00000042580,
ENSSSCG00000037477,
ENSSSCG00000062669,
ENSSSCG00000058216,IGFBP3
ENSSSCG00000035763,SNORA18
ENSSSCG00000063400,
ENSSSCG00000031090,NPG3-PG-2
ENSSSCG00000031144,RAMP3
ENSSSCG00000033441,
ENSSSCG00000016731,
ENSSSCG00000035982,
ENSSSCG00000032824,
ENSSSCG00000016732,TBRG4
ENSSSCG00000034593,
ENSSSCG00000031996,
ENSSSCG00000013186,
ENSSSCG00000042578,
ENSSSCG00000031934,
ENSSSCG00000034383,U6
ENSSSCG00000033190,AQP1
ENSSSCG00000016674,MINDY4
ENSSSCG00000016676,INMT
ENSSSCG00000033514,CRHR2
ENSSSCG00000020845,CDH9
ENSSSCG00000016802,CDH10
ENSSSCG00000016677,GARS1
ENSSSCG00000016800,
ENSSSCG00000044848,
ENSSSCG00000058255,
ENSSSCG00000042498,
ENSSSCG00000016810,
ENSSSCG00000031705,
ENSSSCG00000037668,
ENSSSCG00000016679,GGCT
ENSSSCG00000031509,MTMR12
ENSSSCG00000034586,
ENSSSCG00000016678,NOD1
ENSSSCG00000056345,
ENSSSCG00000031647,SNORA70
ENSSSCG00000052713,
ENSSSCG00000038556,FMN2
ENSSSCG00000040124,
ENSSSCG00000016733,
ENSSSCG00000027681,ZFR
ENSSSCG00000037167,U6
ENSSSCG00000021418,LSS
ENSSSCG00000032650,SUB1
ENSSSCG00000036201,NPR3
ENSSSCG00000037259,
ENSSSCG00000016734,CCM2
ENSSSCG00000016817,TARS1
ENSSSCG00000036704,
ENSSSCG00000029253,
ENSSSCG00000016673,GHRHR
ENSSSCG00000029847,SPATC1L
ENSSSCG00000016821,SLC45A2
ENSSSCG00000027926,FTCD
ENSSSCG00000036815,
ENSSSCG00000062559,HOXA13
ENSSSCG00000035756,
ENSSSCG00000049728,
ENSSSCG00000028022,COL6A2
ENSSSCG00000043486,
ENSSSCG00000046243,
ENSSSCG00000016691,JAZF1
ENSSSCG00000062357,
ENSSSCG00000057163,
ENSSSCG00000016692,TAX1BP1
ENSSSCG00000022575,PRMT2
ENSSSCG00000038952,
ENSSSCG00000058873,
ENSSSCG00000016823,C1QTNF3
ENSSSCG00000052627,
ENSSSCG00000032039,
ENSSSCG00000063268,
ENSSSCG00000016824,RAI14
ENSSSCG00000053148,
ENSSSCG00000036642,
ENSSSCG00000016695,HIBADH
ENSSSCG00000026140,
ENSSSCG00000040376,
ENSSSCG00000040658,
ENSSSCG00000002589,
ENSSSCG00000035657,DIP2A
ENSSSCG00000059322,
ENSSSCG00000016696,EVX1
ENSSSCG00000062465,
ENSSSCG00000037116,ZNRF2
ENSSSCG00000054340,
ENSSSCG00000016686,PRR15
ENSSSCG00000016687,CHN2
ENSSSCG00000040897,
ENSSSCG00000045389,
ENSSSCG00000063549,
ENSSSCG00000037260,
ENSSSCG00000033116,YBEY
ENSSSCG00000058752,
ENSSSCG00000047519,
ENSSSCG00000061535,
ENSSSCG00000026344,MCM3AP
ENSSSCG00000052139,
ENSSSCG00000038326,
ENSSSCG00000044320,
ENSSSCG00000032797,RXFP3
ENSSSCG00000016688,CPVL
ENSSSCG00000043218,
ENSSSCG00000057263,
ENSSSCG00000061062,
ENSSSCG00000059372,
ENSSSCG00000016689,
ENSSSCG00000053449,
ENSSSCG00000056151,
ENSSSCG00000056647,
ENSSSCG00000016690,CREB5
ENSSSCG00000060245,
ENSSSCG00000059945,
ENSSSCG00000056794,
ENSSSCG00000054423,
ENSSSCG00000058188,
ENSSSCG00000062495,
ENSSSCG00000054059,
ENSSSCG00000043836,
ENSSSCG00000056095,
ENSSSCG00000044561,
ENSSSCG00000061683,
ENSSSCG00000055020,
ENSSSCG00000051939,
ENSSSCG00000057614,
ENSSSCG00000052417,
ENSSSCG00000042889,
ENSSSCG00000042836,
ENSSSCG00000045303,
ENSSSCG00000062123,
ENSSSCG00000059280,
ENSSSCG00000054246,
ENSSSCG00000039344,
ENSSSCG00000052138,
ENSSSCG00000050056,
ENSSSCG00000051245,
ENSSSCG00000053822,
ENSSSCG00000063109,
ENSSSCG00000063333,
ENSSSCG00000031430,U6
ENSSSCG00000062771,
ENSSSCG00000059876,
ENSSSCG00000033266,C7orf57
ENSSSCG00000059361,
ENSSSCG00000056593,
ENSSSCG00000056630,
ENSSSCG00000051141,
ENSSSCG00000053467,
ENSSSCG00000031085,
ENSSSCG00000056905,
ENSSSCG00000022557,SUN3
ENSSSCG00000042540,
ENSSSCG00000062613,
ENSSSCG00000058555,
ENSSSCG00000062668,
ENSSSCG00000058546,
ENSSSCG00000056915,
ENSSSCG00000028523,HUS1
ENSSSCG00000054320,
ENSSSCG00000059118,
ENSSSCG00000061478,
ENSSSCG00000055031,
ENSSSCG00000057426,
ENSSSCG00000060752,
ENSSSCG00000057217,
ENSSSCG00000023801,LANCL2
ENSSSCG00000057717,
ENSSSCG00000052261,
ENSSSCG00000052745,
ENSSSCG00000060646,
ENSSSCG00000052856,
ENSSSCG00000044213,
ENSSSCG00000041838,
ENSSSCG00000059153,
ENSSSCG00000062765,
ENSSSCG00000053477,
ENSSSCG00000045747,
ENSSSCG00000045614,
ENSSSCG00000055718,
ENSSSCG00000054460,
ENSSSCG00000059666,
ENSSSCG00000054677,
ENSSSCG00000054342,
ENSSSCG00000032734,VOPP1
ENSSSCG00000054252,
ENSSSCG00000039217,
ENSSSCG00000048632,U2
ENSSSCG00000062994,U6
ENSSSCG00000018997,U6
ENSSSCG00000037925,
ENSSSCG00000060994,U6
ENSSSCG00000036285,NKX2-5
ENSSSCG00000039677,CHRNA4
ENSSSCG00000035422,U6
ENSSSCG00000016720,PGAM2
ENSSSCG00000017009,FOXI1
ENSSSCG00000016721,DBNL
ENSSSCG00000016997,FGF18
ENSSSCG00000036109,
ENSSSCG00000016985,BNIP1
ENSSSCG00000036544,NKAIN4
ENSSSCG00000038046,
ENSSSCG00000016986,CREBRF
ENSSSCG00000000959,LARGE1
ENSSSCG00000016722,UBE2D4
ENSSSCG00000032235,ARFGAP1
ENSSSCG00000016990,
ENSSSCG00000016989,RPL26L1
ENSSSCG00000040519,URGCP
ENSSSCG00000016988,ERGIC1
ENSSSCG00000034299,U6
ENSSSCG00000032409,
ENSSSCG00000043055,
ENSSSCG00000035845,
ENSSSCG00000035465,
ENSSSCG00000058960,
ENSSSCG00000016724,MRPS24
ENSSSCG00000016991,DUSP1
