Gene_name,genes,logFC,PValue,FDR
PPBP,ENSSSCG00000037579,9.2405087339682,6.8263105715993e-08,8.96108405944489e-06
,ENSSSCG00000040083,-9.60861897532921,7.05716964097761e-08,9.19448387510226e-06
ZBED2,ENSSSCG00000011936,5.40425363641635,7.39190986275591e-08,9.54364385749764e-06
TKTL1,ENSSSCG00000029443,-9.5955796220208,7.43531810227482e-08,9.54364385749764e-06
,ENSSSCG00000055095,-9.5824213408371,7.83711504975733e-08,9.91252040745949e-06
FAM131B,ENSSSCG00000028274,-9.5824213408371,7.83711504975733e-08,9.91252040745949e-06
,ENSSSCG00000046140,6.89938613400601,8.00792753016536e-08,1.00551716117902e-05
,ENSSSCG00000053150,9.19549655950208,8.1982252297671e-08,1.02200609195255e-05
PAX6,ENSSSCG00000013320,-9.56914194238588,8.26425481714961e-08,1.02287862479692e-05
PTPRN,ENSSSCG00000016218,-5.24742155984562,8.8732219035788e-08,1.09046233436322e-05
,ENSSSCG00000061450,9.17245263414891,9.00241187832593e-08,1.0959096031227e-05
PLA2G3,ENSSSCG00000010023,5.24396846437425,9.04403700637963e-08,1.0959096031227e-05
,ENSSSCG00000003954,-9.542210728722,9.20203802539626e-08,1.10731190905602e-05
LYPD5,ENSSSCG00000003073,-9.52855422035992,9.71680641128757e-08,1.16119187237787e-05
,ENSSSCG00000000659,5.89293936114188,1.10211661752276e-07,1.30804635263249e-05
LYPD4,ENSSSCG00000003044,5.69813965943328,1.1359406424377e-07,1.33901901035105e-05
FMO1,ENSSSCG00000015268,5.16650817028623,1.19473197013262e-07,1.39809916923304e-05
LEP,ENSSSCG00000040464,9.10102650114024,1.2021974620021e-07,1.39809916923304e-05
MTUS2,ENSSSCG00000025996,-9.47259754623217,1.21383453982694e-07,1.40222166040808e-05
ISLR2,ENSSSCG00000036011,-5.40963168254348,1.23446593766174e-07,1.41661097800018e-05
CTSL,ENSSSCG00000010948,-5.14526741323729,1.26886049512527e-07,1.44650096444281e-05
COL2A1,ENSSSCG00000025523,-5.43178302190147,1.45347100810171e-07,1.64215031810586e-05
CHST4,ENSSSCG00000002737,9.05136564533452,1.46891331548019e-07,1.64215031810586e-05
,ENSSSCG00000047552,9.05136564533452,1.46891331548019e-07,1.64215031810586e-05
SULT1C3,ENSSSCG00000028691,5.08867208512479,1.61137872797691e-07,1.78986991015282e-05
,ENSSSCG00000036622,5.09270719522704,1.67585109061596e-07,1.84962724192314e-05
PIM2,ENSSSCG00000028964,5.08037026744214,1.7488680557153e-07,1.91264950089941e-05
LRRTM4,ENSSSCG00000008259,5.41469961719483,1.75502810851227e-07,1.91264950089941e-05
FSTL4,ENSSSCG00000014293,5.0839299173175,1.85735126653776e-07,2.0115114216604e-05
FGFR4,ENSSSCG00000014047,-5.18153671501229,1.92540511103711e-07,2.07226209714603e-05
IL11,ENSSSCG00000040725,-6.17304683946944,1.99778399283296e-07,2.13515118407836e-05
,ENSSSCG00000058815,8.97351419237869,2.00848131927962e-07,2.13515118407836e-05
ATP8A2,ENSSSCG00000035421,-9.33814665799044,2.06450131668101e-07,2.18132187899077e-05
,ENSSSCG00000061608,-5.09443225439527,2.10492960746021e-07,2.21055880230731e-05
LIPG,ENSSSCG00000004509,5.01284622430454,2.21983791273687e-07,2.31718984047617e-05
RGCC,ENSSSCG00000009434,5.01327197080596,2.25725176501596e-07,2.34213524456267e-05
OTX2,ENSSSCG00000005063,-9.3064873309996,2.33775645366716e-07,2.41122879935384e-05
PAPPA2,ENSSSCG00000015512,-6.12194483380571,2.46306223749329e-07,2.52544038173277e-05
CCNO,ENSSSCG00000026849,-6.11449451030806,2.53928881348272e-07,2.58828215058992e-05
ALDH1L1,ENSSSCG00000030626,5.11445982386912,2.55918956751083e-07,2.59331209507764e-05
TLCD4,ENSSSCG00000039854,4.96691707026232,2.65793571955187e-07,2.66345784435312e-05
WFIKKN1,ENSSSCG00000037013,5.08892708279297,2.6591540112713e-07,2.66345784435312e-05
FABP3,ENSSSCG00000036883,4.96603928586176,2.73427782533318e-07,2.72296357226283e-05
CAPN6,ENSSSCG00000012584,5.33551058253446,2.79895291394366e-07,2.77144320530375e-05
SLC4A5,ENSSSCG00000027320,-5.82584946975795,2.84706147916148e-07,2.8030614381199e-05
AIG1,ENSSSCG00000004136,4.95455909505281,2.88811602520276e-07,2.81753548861903e-05
DPEP1,ENSSSCG00000021971,-5.6623258839836,2.89428276185473e-07,2.81753548861903e-05
