Gene_name,genes,logFC,PValue,FDR
PRR11,ENSSSCG00000024145,3.19882134285978,0.00108698365807365,0.144392990932049
GDPD2,ENSSSCG00000012376,2.98447996294058,0.00109827930434376,0.144828568702733
SLC4A9,ENSSSCG00000014363,-2.97837390167049,0.00118304738981442,0.154164441050243
BSX,ENSSSCG00000015139,-3.84774104085675,0.00118873529345993,0.154164441050243
,ENSSSCG00000014877,-3.09718638561919,0.00120025196836792,0.154164441050243
RTTN,ENSSSCG00000032574,2.84313428572467,0.00120320968604474,0.154164441050243
,ENSSSCG00000006719,-3.01421808700933,0.00121235320965161,0.154242063982859
PKD2L1,ENSSSCG00000010552,-3.04980374973349,0.00125920772628442,0.15807526287885
SHISAL2A,ENSSSCG00000034127,2.89771687837621,0.00126132367076305,0.15807526287885
,ENSSSCG00000007493,2.84521984098891,0.00127223657947873,0.15807526287885
,ENSSSCG00000050667,-3.59300324504296,0.00127748192075235,0.15807526287885
BUB1B,ENSSSCG00000004782,2.84893422589484,0.00130412592946419,0.160274415249661
,ENSSSCG00000031800,2.9073120274244,0.00131835673049148,0.160816479390531
,ENSSSCG00000056766,-2.95730679253636,0.0013263398333438,0.160816479390531
CDT1,ENSSSCG00000002651,2.82887966291574,0.0013427643429724,0.161722537467596
ssc-mir-29b-2,ENSSSCG00000019034,-3.79903620804366,0.00138776912470506,0.166036006668355
ADGRB2,ENSSSCG00000003604,2.79609458325884,0.00139964615880075,0.166355312532199
,ENSSSCG00000055991,-2.95971162953408,0.00151232424269356,0.178572874303933
CNTN4,ENSSSCG00000011527,-2.78644852399635,0.0015730226493813,0.184533942751446
ELOVL2,ENSSSCG00000001045,2.77320122186712,0.00160816571673993,0.18717631052979
DPPA5,ENSSSCG00000004283,-3.00983302532532,0.00161626837388726,0.18717631052979
,ENSSSCG00000062552,-3.14702657783302,0.00168384136450458,0.193759733064585
TDRD6,ENSSSCG00000021218,2.88572291763088,0.00177512298285046,0.202970707646686
,ENSSSCG00000002855,2.93010968729022,0.00180307493744499,0.204870137231957
CCDC14,ENSSSCG00000025349,2.72459660638838,0.0018175822713676,0.205227758215794
,ENSSSCG00000057055,3.70400751973813,0.0018572309558467,0.208402077318798
KIF14,ENSSSCG00000010912,2.73136844556467,0.00194413204864078,0.216563341896824
PRC1,ENSSSCG00000037307,2.71053957067903,0.00195393693840265,0.216563341896824
,ENSSSCG00000054946,2.84146520525482,0.00196823819316266,0.216818239010223
,ENSSSCG00000056099,3.14714642299399,0.00199703831743629,0.218320489579995
SGO2,ENSSSCG00000016092,2.69865228420694,0.00200604457380046,0.218320489579995
EXO1,ENSSSCG00000010865,2.83472435247497,0.0020590241185533,0.222744489375951
CCNB1,ENSSSCG00000029326,2.67717683052801,0.00220279762340485,0.234680258550063
,ENSSSCG00000031979,2.75117734682984,0.00221276076925153,0.234680258550063
MELK,ENSSSCG00000005344,2.70930388917628,0.00222373121092141,0.234680258550063
REXO5,ENSSSCG00000007855,2.66132625578205,0.00223750900860624,0.234680258550063
TRPM5,ENSSSCG00000039644,-3.64220351787383,0.00226028810958214,0.234680258550063
DAO,ENSSSCG00000009942,-3.64220351787383,0.00226028810958214,0.234680258550063
RDH12,ENSSSCG00000002297,-3.64220351787383,0.00226028810958214,0.234680258550063
SGO1,ENSSSCG00000011207,2.78651747524968,0.0022781449355692,0.235182665177104
MND1,ENSSSCG00000009009,2.70561619782291,0.00233728846871914,0.239917349294772
SYNGR4,ENSSSCG00000003131,3.38345687533655,0.00247230054711055,0.250180822988871
NPBWR1,ENSSSCG00000059721,3.38345687533655,0.00247230054711055,0.250180822988871
NXNL2,ENSSSCG00000035269,-2.71097382102092,0.00247882028755717,0.250180822988871
,ENSSSCG00000062489,4.06577884759887,0.00252712071934597,0.252237364175162
,ENSSSCG00000060975,4.06577884759887,0.00252712071934597,0.252237364175162
CTSL,ENSSSCG00000010948,-2.69516667940403,0.00257856157078209,0.254700640797255
CDK1,ENSSSCG00000010214,2.63412982407153,0.00259288819549363,0.254700640797255
CDCA8,ENSSSCG00000032909,2.66308293778477,0.00259409486918493,0.254700640797255
OTOF,ENSSSCG00000037751,-2.7701915383712,0.00262363692269775,0.256208781867339
INSYN1,ENSSSCG00000001916,-2.71004135485044,0.00277100868960419,0.269145392399943
ASF1B,ENSSSCG00000013772,2.68596005455621,0.00280535839810953,0.271024624707202
CKAP2,ENSSSCG00000009378,2.61311155444147,0.00283710766790953,0.271607994276064
RMI1,ENSSSCG00000039950,2.60127948997216,0.00284146523404053,0.271607994276064
KIF4A,ENSSSCG00000012377,2.60557739159811,0.0028575097002801,0.271704053922423
,ENSSSCG00000056178,2.59830324484166,0.00290429134957074,0.274706426813324
CCNB2,ENSSSCG00000004588,2.61580737709455,0.00296540386342067,0.278550583925383
WNT7A,ENSSSCG00000039010,2.86849275605303,0.00297577010392997,0.278550583925383
NOTO,ENSSSCG00000059555,3.54128413272374,0.00304608437438977,0.281581338319933
TICRR,ENSSSCG00000040355,2.71032811233616,0.00305236048470563,0.281581338319933
NUF2,ENSSSCG00000006333,2.59165261127369,0.00305490658201632,0.281581338319933
KIF11,ENSSSCG00000010471,2.57840054877119,0.00314438259785005,0.288357441689132
FOXQ1,ENSSSCG00000000991,-3.52729685351123,0.00319687930347723,0.291691017659695
,ENSSSCG00000048939,3.29361305114744,0.00325930215007998,0.295892224338417
BUB1,ENSSSCG00000030469,2.57191090918612,0.00329519982730812,0.297655400400743
SLC38A3,ENSSSCG00000011397,3.05017511752144,0.00339017195172747,0.304534746372306
TTK,ENSSSCG00000004466,2.60791760807221,0.00340507133661053,0.304534746372306
NCAPG,ENSSSCG00000008747,2.54280996703852,0.00346282061501368,0.308173976506587
UHRF1,ENSSSCG00000013517,2.52799582076651,0.00353992390694932,0.31186109501925
,ENSSSCG00000013027,-3.949783413125,0.00354002502353614,0.31186109501925
CENPA,ENSSSCG00000038543,2.57608853668579,0.00355603816970916,0.31186109501925
POLQ,ENSSSCG00000036613,2.5930525065471,0.0036203761275537,0.312045122715628
,ENSSSCG00000059531,3.48269185433325,0.00362361421956045,0.312045122715628
,ENSSSCG00000043782,-2.60378976283871,0.00362637041547003,0.312045122715628
ADAM23,ENSSSCG00000016131,-2.76506513552135,0.00362722660081268,0.312045122715628
,ENSSSCG00000052907,-2.52378766496026,0.00364453557796681,0.312048245268002
,ENSSSCG00000057811,3.10788073172838,0.00378327966674745,0.322399671978582
