,ovary00.txt,ovary15.txt
ENSSSCG00000004850,0.047395888860288,-0.68685623561763
ENSSSCG00000004854,7.27055588394997,7.01785227932257
ENSSSCG00000004974,4.12912334477972,4.83016841782332
ENSSSCG00000004976,1.47160569026839,1.31752523384932
ENSSSCG00000036984,3.71680420455478,2.10240794760877
ENSSSCG00000004980,5.59108637445818,5.07968763477838
ENSSSCG00000004875,8.23163977393949,6.12270297756948
ENSSSCG00000004978,-0.36655189750092,-2.87740589891705
ENSSSCG00000037781,2.08931032257582,1.7626969137578
ENSSSCG00000005781,1.81326809789226,2.2568219561998
ENSSSCG00000004979,4.67178828515317,4.71306869378725
ENSSSCG00000025616,4.07498947910114,3.1259214045687
ENSSSCG00000026167,1.04575977462579,0.00341733673746864
ENSSSCG00000004985,4.37071466033014,4.34609576446349
ENSSSCG00000004844,5.4137984286494,4.97707885954152
ENSSSCG00000004986,4.60650296339613,4.76179230248935
ENSSSCG00000004845,5.12636760267044,4.69966469583567
ENSSSCG00000022828,7.33041176429122,7.23550164533891
ENSSSCG00000032494,4.41278693900194,4.60011903178381
ENSSSCG00000004873,1.47160569026839,1.19186177528231
ENSSSCG00000004983,5.05684787705451,5.39333513139714
ENSSSCG00000032214,4.82560070429352,5.40281934785863
ENSSSCG00000032574,3.194238205086,2.54075071422725
ENSSSCG00000038398,-1.36220125817057,-0.099944772166887
ENSSSCG00000028977,0.404229827897419,-0.154542382959495
ENSSSCG00000005782,3.95123090214709,3.93345475096359
ENSSSCG00000040252,3.84201901667437,3.28823712525565
ENSSSCG00000062837,-2.35353914258208,-0.68685623561763
ENSSSCG00000041275,-0.702440707070355,0.145776236969548
ENSSSCG00000060600,4.60840984589832,3.49303090438917
ENSSSCG00000060688,-1.14105053845107,-1.27474712600953
ENSSSCG00000061734,-1.36220125817057,-0.857512777410536
ENSSSCG00000061619,-1.62349907521873,-1.05109895261415
ENSSSCG00000004989,4.00143487467719,4.97707885954152
ENSSSCG00000060152,1.36736042389259,0.606103559714831
ENSSSCG00000053633,0.00169769131618053,0.145776236969548
ENSSSCG00000062595,-0.0942848411523603,-0.270356767513845
ENSSSCG00000053742,2.21477502133122,0.902001561225449
ENSSSCG00000056642,6.27178148607461,5.633807466705
ENSSSCG00000062224,1.09010428578839,0.761625417984509
ENSSSCG00000054354,-0.949337438565871,-0.46362822212466
ENSSSCG00000058062,0.438934441025613,-1.27474712600953
ENSSSCG00000019587,-0.42776301086752,-0.769662603885812
ENSSSCG00000019809,-2.13361630899072,-1.15859359858639
ENSSSCG00000019949,-1.36220125817057,-0.270356767513845
ENSSSCG00000018926,-0.42776301086752,-1.27474712600953
ENSSSCG00000004075,-0.702440707070355,2.10240794760877
ENSSSCG00000004076,3.34823444233682,3.49746414091832
ENSSSCG00000004077,1.81326809789226,2.43378746228545
ENSSSCG00000004101,4.41278693900194,4.92372508770175
ENSSSCG00000004103,5.68804354718501,6.21644325327689
ENSSSCG00000004410,0.00169769131618053,-3.90436408197986
